average_execution_times,average_service_times,average_transmision_times,average_vehicle_SINRs,average_vehicle_intar_interference,average_vehicle_inter_interference,average_vehicle_interferences,average_wired_transmission_times,cumulative_reward,episode_length,episode_return,episodes,local_rate,offload_rate,service_rate,steps,steps_per_second
4.679889496220625,9.673718755513466,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36383043167929535,192.97026927321028,300,"[ 34.69914633  49.68169369  33.29598073  45.45207665  43.61877452
  44.84538312  32.72718708  42.49743728  33.11572812 192.97026927]",1,0.11477441745166088,0.8852255825483392,0.6326227069905801,300,55.08511438591773
4.8679208456309935,9.870707833217317,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.37278815997275905,188.01706686846003,300,"[ 35.51503996  45.09671977  32.91298715  44.98973264  42.2609113
  43.65120878  32.40021373  43.40837544  32.2921946  188.01706687]",2,0.10213187902825979,0.8978681209717402,0.6170054536440258,600,128.60437672893508
4.672777225481605,9.672841045002038,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.37006499190687486,192.16411981551303,300,"[ 35.27719406  45.02881557  33.51586313  44.80171725  42.35258356
  43.83728003  33.55137508  45.96242759  31.38894934 192.16411982]",3,0.10708973723351513,0.8929102627664849,0.6303916707982151,900,129.01305908784065
4.830585531819163,9.830760577955504,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.37017621852277355,188.3167497277404,300,"[ 33.68459448  45.76033818  33.81690954  44.45124451  40.79555497
  44.34652927  32.52179287  42.59445655  32.18719705 188.31674973]",4,0.11303916707982152,0.8869608329201785,0.6170054536440258,1200,2.889245594720383
4.885697532848067,9.884500804829836,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36880444436820536,188.35140721851258,300,"[ 35.26847955  45.64711009  32.40106023  44.83409434  42.03665637
  44.29348056  31.823475    42.54458471  32.1172451  188.35140722]",5,0.11179970252850768,0.8882002974714923,0.616757560733763,1500,92.10341801007355
4.723199166654481,9.716746485801325,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36354849153329144,187.7889232413612,300,"[ 36.04101854  44.61539003  33.56147487  44.22647827  43.44593316
  37.54502366  33.98238164  45.38936989  32.3479742  187.78892324]",6,0.11031234506693109,0.8896876549330689,0.6172533465542885,1800,89.96342739104165
5.0620209039217885,10.055924600368158,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.363904868832816,186.89752562968494,300,"[ 36.69219013  44.98287045  32.08275529  40.94798262  43.68504164
  35.31694081  32.807236    46.78185749  33.22193843 186.89752563]",7,0.11576598909271195,0.884234010907288,0.6117997025285077,2100,90.60633364519758
5.695258014612877,10.69297939913999,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36772255691355943,179.71868449747703,300,"[ 36.24790905  46.4371109   30.3552159   37.17987151  42.9236522
  33.62539729  30.09728649  46.90633674  28.93427177 179.7186845 ]",8,0.10758552305404065,0.8924144769459593,0.5889935547843331,2400,91.37495838064112
6.341304069410708,11.3390360715335,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.36773317450923176,173.3701516319937,300,"[ 34.09947195  49.24585226  30.67831396  34.84693363  37.82236896
  32.90730512  28.08516584  43.2890888   28.13810211 173.37015163]",9,0.10411502231036192,0.895884977689638,0.5676747645017353,2700,89.46413290070585
6.469513316353052,11.464930027520658,4.6299988276135515,46.56765729179872,1.987663967554149e-07,7.133544623364909e-09,2.0589994137877962e-07,0.3654178835540522,172.58238607367855,300,"[ 34.0800176   50.02924262  29.97237137  36.52634393  38.17396612
  32.078853    29.75185229  41.52359983  26.87441047 172.58238607]",10,0.11204759543877045,0.8879524045612296,0.5651958353991076,3000,91.29511695767688
